LOCATION,BOS,ADDR_NUM,ST_NAME,ST_TYPE,ADDRESS,EAS_ADDRESS,CNN,PARCEL,ZIP,LAT_EAS,LONG_EAS,COORDINATES,BIKE_PARKING,PLACEMENT,RACKS,SPACES,MO_INST,YR_INSTALLED,INSTALLED_BY,1_STATUS,2_STATUS_HIGH_LEVEL,3_STATUS_DETAIL,4_STATUS_DESCRIPTION,5_ACTING_AGENT,6_ACTION
Eezy Freezy,,,,,25 WEST PORTAL AVE,,,,,,,"(37.74036449, -122.46585218)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT
Muriel Leff Mini-Park,,,,,450 07TH AVE,,,,,,,"(37.77978842, -122.46559413)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA
Brotherhood Market and Deli,,,,,301 RANDOLPH ST,,,,,,,"(37.714139, -122.465531)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,SUPPLY MEETS DEMAND,SFMTA,1. AGENT_TO_CONTACT
Laundromat,,,,,250 RANDOLPH ST,,,,,,,"(37.714447, -122.465111)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,SUPPLY MEETS DEMAND,SFMTA,1. AGENT_TO_CONTACT
Peabody Elementary School,,,,,251 06TH AVE,,,,,,,"(37.78393400, -122.46479400)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,SFMTA,3. FIELD_SURVEY
SFPD Richmond Station,,,,,461 06TH AVE,,,,,,,"(37.780001, -122.464749)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA
Little Vietnam Cafe,,,,,309 06TH AVE,,,,,,,"(37.78269264, -122.46458189)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,SFMTA,3. FIELD_SURVEY
Ro Café,,,,,110 06TH AVE #6,,,,,,,"(37.786435, -122.464499)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,SFMTA,3. FIELD_SURVEY
Frank McCoppin (SA) CDC,,,,,651 06TH AVE,,,,,,,"(37.776311, -122.464480)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,SFMTA,3. FIELD_SURVEY
West Portal School,,,,,5 LENOX WAY,,,,,,,"(37.742874, -122.464349)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA
G-O glow,,,,,550 IRVING ST,,,,,,,"(37.764304, -122.463898)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA
Loving Hut ,,,,,524 IRVING ST,,,,,,,"(37.76442000, -122.46361225)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,SFMTA,3. FIELD_SURVEY
